SGB_ID,Completeness,Contamination,Genome size (bp),Contig count,N50,GC,BioProject,Domain,Phylum,Class,Order,Family,Genus,Species,fastani_ani
SAMEA3663072__metabat2_low_PE.011.contigs,92.2,1.77,1457254,232,9401,45.1,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__CAG-145,s__,
SAMEA3663271__metabat2_high_PE.028.contigs,74.93,1.65,1383897,387,4031,45.1,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__CAG-145,s__,
SAMEA3387475__metabat2_low_PE.040.contigs,82.58,2.01,2231087,524,5003,44.5,PRJEB9357,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Emergencia,s__,
SAMEA3387475__metabat2_high_PE.008.contigs,97.16,0.0,1690261,66,38597,33.3,PRJEB9357,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Eubacterium_M,s__,
R05__maxbin2_low_prob.006.contigs,56.97,2.78,970661,342,2933,45.4,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Mogibacterium,s__,
R21__maxbin2_low_prob.048.contigs,96.1,0.82,1729968,94,41872,50.5,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Mogibacterium,s__,
R21__metabat2_high_PE.011.contigs,90.43,0.71,1363809,93,23030,43.5,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Mogibacterium,s__,
R21__metabat2_high_PE.019.contigs,86.11,0.0,1145953,194,7551,42.8,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Mogibacterium,s__,
SAMEA3387451__metabat2_high_PE.030.contigs,93.71,0.31,1770030,273,8254,50.9,PRJEB9357,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Mogibacterium,s__Mogibacterium sp002299625,96.69
R27__maxbin2_high_prob.011.contigs,90.07,0.0,1414831,99,24758,48.8,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__UBA1191,s__,
X136_Domestic_Pig__metabat2_low_PE.007.contigs,94.33,0.35,1456029,159,12484,48.0,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__UBA1191,s__,
SAMEA104404100__metabat2_high_PE.092.contigs,99.3,0.0,1799064,43,69782,31.7,PRJEB23642,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Clostridium_U,s__,
SAMEA3387471__maxbin2_low_prob.020.contigs,100.0,0.0,2728211,127,67148,31.3,PRJEB9357,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Clostridium_U,s__,
Virginia_p1__metabat2_high_PE.027.contigs,87.76,1.4,1789104,457,4626,31.0,PRJEB20308,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Clostridium_U,s__,
F157b_European_Toad__metabat2_low_PE.001.contigs,84.5,1.05,1649689,326,6096,28.1,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Paraclostridium,s__,
F241_Great_Cormorant__metabat2_high_PE.009.contigs,95.8,0.0,1970020,91,44244,30.7,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Peptostreptococcus,s__,
Trix_p1__metabat2_low_PE.026.contigs,98.6,0.0,1926937,112,26625,30.8,PRJEB20308,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Peptostreptococcus,s__Peptostreptococcus russellii_A,99.27
Bissell_p1__maxbin2_high_prob.028.contigs,70.28,0.18,2712166,754,4114,29.4,PRJEB20308,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Romboutsia,s__,
DHKFR23503__metabat2_high_PE.003.contigs,96.13,0.0,1949937,187,19039,26.3,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Romboutsia,s__,
Skinner_p2__metabat2_high_PE.010.contigs,89.08,0.31,2198161,495,5522,27.9,PRJEB20308,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Romboutsia,s__,
X231_Brown_Bear__maxbin2_low_prob.001.contigs,51.33,0.37,1399305,416,3377,38.6,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Romboutsia,s__,
SAMEA103957793__metabat2_high_PE.001.contigs,65.02,0.0,1581876,564,2938,30.1,PRJEB20308,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Terrisporobacter,s__,
X276_Barnacle_Goose__maxbin2_high_prob.005.contigs,62.27,0.02,655525,153,4898,29.3,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Terrisporobacter,s__,
R21__maxbin2_low_prob.027.contigs,96.22,1.95,2624456,243,15887,49.0,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Saccharofermentanales,f__Saccharofermentanaceae,g__Firm-16,s__Firm-16 sp002368805,97.9
R21__metabat2_high_PE.008.contigs,98.58,0.71,2605667,98,44727,47.6,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Saccharofermentanales,f__Saccharofermentanaceae,g__Saccharofermentans,s__,
R21__metabat2_high_PE.030.contigs,99.29,0.71,2769217,201,19945,45.1,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Saccharofermentanales,f__Saccharofermentanaceae,g__Saccharofermentans,s__,
R22__metabat2_low_PE.040.contigs,81.77,2.03,1890441,454,4946,41.4,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Saccharofermentanales,f__Saccharofermentanaceae,g__Saccharofermentans,s__,
R26__metabat2_low_PE.020.contigs,97.64,0.95,2097804,163,20640,50.2,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Saccharofermentanales,f__Saccharofermentanaceae,g__Saccharofermentans,s__,
X410_Impala__metabat2_low_PE.001.contigs,95.63,0.24,2599892,239,14036,45.4,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Saccharofermentanales,f__Saccharofermentanaceae,g__Saccharofermentans,s__,
X424_Quagga__metabat2_low_PE.008.contigs,98.58,2.48,1941134,110,28434,49.3,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Saccharofermentanales,f__Saccharofermentanaceae,g__Saccharofermentans,s__,
X411_Leopard__metabat2_low_PE.002.contigs,69.21,0.7,1250482,230,6537,25.2,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-465,g__,s__,
SAMEA3663267__metabat2_low_PE.011.contigs,74.54,0.0,1154599,114,14164,28.1,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__,s__,
X120_Alpine_Shrew__metabat2_high_PE.003.contigs,64.95,1.7,1136455,203,6471,27.7,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__,s__,
SAMEA104404097__metabat2_low_PE.006.contigs,59.97,3.87,1309237,236,8221,25.2,PRJEB23642,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-269,s__,
SAMEA104404106__maxbin2_low_prob.018.contigs,74.32,0.67,1573649,120,44814,24.7,PRJEB23642,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-269,s__,
SAMEA104315432__metabat2_low_PE.014.contigs,73.42,1.38,1287107,168,10537,28.9,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-273,s__CAG-273 sp000435755,95.62
SAMEA3663096__metabat2_low_PE.010.contigs,71.75,0.22,1112649,179,8353,27.9,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-273,s__CAG-273 sp000437855,99.28
SAMEA3663207__metabat2_low_PE.011.contigs,73.76,1.07,1090888,256,4938,27.7,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-273,s__CAG-273 sp003507395,98.77
SAMEA3387469__metabat2_low_PE.004.contigs,80.36,2.31,1669760,37,60798,27.6,PRJEB9357,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-354,s__CAG-354 sp001915925,95.52
R27__metabat2_low_PE.056.contigs,69.54,3.57,1795664,472,4784,32.4,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-492,s__,
SAMEA104315426__metabat2_low_PE.005.contigs,71.89,3.96,2143004,542,4651,28.6,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-492,s__,
SAMEA104315430__metabat2_low_PE.049.contigs,72.3,2.82,1466085,329,5285,26.9,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-492,s__,
SAMEA3663057__metabat2_high_PE.009.contigs,75.66,2.46,1615344,77,35368,28.6,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-492,s__,
SAMEA3663241__metabat2_low_PE.011.contigs,77.28,2.8,1635292,147,19397,27.7,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-492,s__,
DSLMC04102__metabat2_low_PE.001.contigs,80.36,1.34,1834732,82,34438,25.6,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__UBA7001,s__,
DGYFR06203__metabat2_low_PE.001.contigs,50.28,3.4,1455323,322,6398,38.9,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Helcococcaceae,g__,s__,
R16__metabat2_low_PE.028.contigs,50.41,0.09,824508,284,3075,41.8,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Helcococcaceae,g__,s__,
X411_Leopard__maxbin2_low_prob.006.contigs,97.55,0.7,1690235,57,106040,29.1,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__,s__,
R04__metabat2_high_PE.003.contigs,72.33,0.28,1787844,584,3295,46.4,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__UBA1212,f__UBA1212,g__,s__,
NBJMC04201__metabat2_high_PE.023.contigs,85.08,1.45,2180727,138,27443,44.8,PRJNA417359,d__Bacteria,p__Firmicutes_B,c__Dehalobacteriia,o__UBA7702,f__UBA7702,g__,s__,
DGYFJ06202__metabat2_low_PE.023.contigs,62.66,1.38,1670226,409,4804,56.4,PRJNA417359,d__Bacteria,p__Firmicutes_B,c__Peptococcia,o__Peptococcales,f__Peptococcaceae,g__,s__,
SAMEA3387496__metabat2_high_PE.007.contigs,81.66,1.28,2020308,156,18947,46.1,PRJEB9357,d__Bacteria,p__Firmicutes_B,c__Peptococcia,o__Peptococcales,f__Peptococcaceae,g__,s__,
SAMEA104404097__metabat2_high_PE.061.contigs,78.27,1.28,1623328,34,83334,42.0,PRJEB23642,d__Bacteria,p__Firmicutes_B,c__Peptococcia,o__Peptococcales,f__Peptococcaceae,g__UBA7185,s__,
artificially_reared_2__metabat2_low_PE.017.contigs,97.6,0.9,1764262,18,184585,42.7,PRJNA316560-PRJNA316570,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__,s__,
SAMEA104404100__maxbin2_low_prob.032.contigs,97.31,0.42,1808850,33,139427,44.6,PRJEB23642,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__,s__,
SAMEA3663095__metabat2_low_PE.028.contigs,69.74,1.8,1481208,362,4915,56.7,PRJEB11755,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Acidaminococcus,s__Acidaminococcus fermentans,99.38
DHCMC07803__maxbin2_low_prob.008.contigs,99.4,0.6,1804419,41,87536,46.3,PRJNA417359,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium,s__Phascolarctobacterium sp000436095,96.57
MJGMH1__metabat2_low_PE.015.contigs,69.44,0.0,1455075,12,254178,43.4,PRJNA476660,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium,s__Phascolarctobacterium faecium,99.04
Garth_p2__metabat2_low_PE.031.contigs,99.85,1.5,1791510,98,27645,41.3,PRJEB20308,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium_A,s__,
R04__metabat2_low_PE.017.contigs,87.14,3.4,1761679,463,4369,46.2,PRJNA532626,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium_A,s__,
SAMEA3387479__metabat2_high_PE.023.contigs,99.75,1.02,1808351,187,13369,39.3,PRJEB9357,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium_A,s__,
SAMEA3663023__metabat2_low_PE.017.contigs,99.52,0.97,2089740,38,86008,47.5,PRJEB11755,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium_A,s__Phascolarctobacterium_A succinatutens,99.16
R16__metabat2_low_PE.008.contigs,88.97,4.44,1591918,342,6193,50.2,PRJNA532626,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Succiniclasticum,s__,
SAMEA104315428__metabat2_low_PE.031.contigs,94.87,0.69,2188402,155,23526,43.4,PRJEB22765,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__,s__,
X404_Brown_Greater_Galago__maxbin2_high_prob.002.contigs,80.46,2.85,2104672,374,7214,48.3,multi-species,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__,s__,
R06__maxbin2_low_prob.058.contigs,50.08,1.58,1491165,630,2313,43.7,PRJNA532626,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Anaerovibrio,s__,
SAMEA104315434__metabat2_high_PE.033.contigs,99.66,3.21,2368214,74,65861,48.0,PRJEB22765,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Anaerovibrio,s__,
SAMEA3663023__maxbin2_low_prob.004.contigs,99.66,1.31,2340550,107,40883,43.9,PRJEB11755,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Anaerovibrio,s__,
SAMEA3663097__maxbin2_low_prob.013.contigs,93.77,2.22,2174216,379,8491,41.0,PRJEB11755,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Anaerovibrio,s__,
C._urophasianus_2_cecum__metabat2_low_PE.006.contigs,99.37,1.98,2081104,119,28229,32.4,PRJNA336354,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Megamonas,s__,
Cebus_capucinus_imitator_PRJNA485217_SSR056__maxbin2_low_prob.012.contigs,100.0,1.27,2535369,84,114097,33.1,PRJNA485217,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Megamonas,s__,
Cebus_capucinus_imitator_PRJNA485217_SSR118__metabat2_high_PE.012.contigs,98.73,1.27,1975610,183,14885,35.1,PRJNA485217,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Megamonas,s__,
Garnier_p2__metabat2_low_PE.022.contigs,95.85,0.0,1859777,94,27696,30.9,PRJEB20308,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Megamonas,s__,
NBJMC04203__maxbin2_low_prob.004.contigs,100.0,0.63,2367236,88,47110,32.1,PRJNA417359,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Megamonas,s__Megamonas funiformis,97.61
SAMEA3387452__metabat2_high_PE.025.contigs,87.52,1.03,1215440,315,4499,46.8,PRJEB9357,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Allisonella,s__Allisonella histaminiformans,96.9
SAMEA104315425__metabat2_low_PE.033.contigs,98.73,0.63,2526557,221,17917,45.4,PRJEB22765,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Dialister,s__,
SAMEA3663095__metabat2_high_PE.021.contigs,98.42,0.63,2177133,149,22940,52.3,PRJEB11755,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Dialister,s__Dialister sp000434475,96.26
DGYMR06203__maxbin2_high_prob.013.contigs,96.39,2.4,2068557,149,24609,54.4,PRJNA417359,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Megasphaeraceae,g__Megasphaera,s__Megasphaera sp900066485,95.46
SAMEA104315436__metabat2_low_PE.041.contigs,98.8,0.2,2463921,88,44846,45.6,PRJEB22765,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Megasphaeraceae,g__Megasphaera,s__Megasphaera sp002431345,95.75
SAMEA3387493__maxbin2_low_prob.016.contigs,90.7,0.0,1926042,440,5577,53.6,PRJEB9357,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Megasphaeraceae,g__Megasphaera,s__Megasphaera elsdenii,97.74
SAMEA3663124__metabat2_low_PE.003.contigs,95.45,1.32,1677867,155,17372,40.1,PRJEB11755,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__,s__,
Cam_p2__metabat2_low_PE.032.contigs,100.0,0.0,2001196,42,99324,45.1,PRJEB20308,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella_A,s__Veillonella_A magna,97.98
SAMEA5043681__maxbin2_low_prob.008.contigs,100.0,0.0,1867527,72,110765,29.3,PRJEB29346,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__,s__,
X1_Eurasian_Beaver__metabat2_high_PE.007.contigs,76.12,1.17,936483,206,5023,33.0,multi-species,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__,s__,
X329_Bleak__metabat2_low_PE.005.contigs,92.02,0.0,1565255,266,7224,36.0,multi-species,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__,s__,
Charlie_p2__metabat2_low_PE.014.contigs,97.75,1.12,2889874,222,23086,31.0,PRJEB20308,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Cetobacterium_A,s__,
SAMEA5043657__metabat2_low_PE.001.contigs,98.31,0.0,2366751,450,7231,27.3,PRJEB29346,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Cetobacterium_A,s__,
Trix_p1__metabat2_low_PE.021.contigs,96.63,0.0,2295583,229,15334,30.8,PRJEB20308,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Cetobacterium_A,s__,
X327_Silver_Bream__metabat2_high_PE.005.contigs,85.58,1.35,1461395,337,4701,31.3,multi-species,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Cetobacterium_A,s__,
Cam_p1__metabat2_low_PE.012.contigs,98.58,1.12,1876803,57,58420,28.5,PRJEB20308,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__Fusobacterium_A sp900015295,99.63
Oklahoma_p2__metabat2_low_PE.035.contigs,98.27,1.24,1987277,189,14576,29.3,PRJEB20308,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__,
SAMEA104404098__metabat2_low_PE.001.contigs,67.55,1.12,829546,300,2899,30.0,PRJEB23642,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__,
X18_West_European_Hedgehog__maxbin2_low_prob.002.contigs,100.0,1.69,3744804,257,27063,30.3,multi-species,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__Fusobacterium_A varium_B,98.9
X332_Harbor_Porpoise__maxbin2_low_prob.001.contigs,87.22,1.12,1601769,357,5059,30.2,multi-species,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__,
Glacier_p1__metabat2_high_PE.008.contigs,100.0,0.0,1567990,220,10939,29.5,PRJEB20308,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_B,s__,
SAMEA104404097__maxbin2_low_prob.066.contigs,90.43,2.25,1504667,73,51296,26.5,PRJEB23642,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_B,s__,
SAMEA104404106__maxbin2_low_prob.059.contigs,92.13,0.0,1296721,89,24952,27.0,PRJEB23642,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_B,s__,
Scooby_p2__metabat2_low_PE.040.contigs,98.88,0.0,1541519,308,6413,31.3,PRJEB20308,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_B,s__,
X244_Common_House_Martin__metabat2_low_PE.005.contigs,59.42,0.16,1280466,404,3093,31.0,multi-species,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_B,s__,
SAMEA104315422__maxbin2_low_prob.036.contigs,76.77,1.77,3389606,382,13852,51.8,PRJEB22765,d__Bacteria,p__Myxococcota,c__Bradimonadia,o__Bradymonadales,f__UBA4248,g__UBA4248,s__,
SAMEA3663025__metabat2_low_PE.002.contigs,70.81,1.61,2751777,533,6374,55.5,PRJEB11755,d__Bacteria,p__Myxococcota,c__Bradimonadia,o__Bradymonadales,f__UBA4248,g__UBA4248,s__,
R17__metabat2_high_PE.020.contigs,61.03,0.0,664582,41,26033,41.2,PRJNA532626,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__,s__,
R25__metabat2_low_PE.015.contigs,55.33,0.0,469975,148,3558,39.3,PRJNA532626,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__,s__,
X19_European_Ground_Squirrel__metabat2_high_PE.007.contigs,55.45,0.85,767069,64,14179,46.4,multi-species,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__,s__,
R25__metabat2_low_PE.009.contigs,63.39,0.85,969001,19,95737,45.2,PRJNA532626,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__UBA2834,s__UBA2834 sp002371895,96.26
SAMEA104315433__metabat2_low_PE.020.contigs,58.69,1.71,659013,102,9633,44.8,PRJEB22765,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__UBA2834,s__,
R05__metabat2_low_PE.013.contigs,51.71,0.0,592443,141,4966,40.0,PRJNA532626,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__UBA2866,s__,
R21__metabat2_low_PE.075.contigs,80.66,1.12,701213,26,41342,41.3,PRJNA532626,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__UBA2866,s__,
SAMEA3663297__maxbin2_low_prob.019.contigs,86.14,0.1,3931233,633,9340,53.1,PRJEB11755,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Thermoguttaceae,g__,s__,
SAMEA3663299__metabat2_low_PE.003.contigs,97.5,1.15,4420481,88,97138,53.7,PRJEB11755,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Thermoguttaceae,g__,s__,
SAMEA3663093__metabat2_high_PE.008.contigs,87.33,2.21,1529516,275,6903,42.6,PRJEB11755,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__RF32,f__CAG-239,g__,s__,
SAMEA3663124__metabat2_low_PE.007.contigs,97.85,1.08,1444728,71,35258,38.3,PRJEB11755,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__RF32,f__CAG-239,g__51-20,s__,
SAMEA104404106__metabat2_high_PE.033.contigs,95.6,1.1,1631580,48,58384,36.0,PRJEB23642,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__RF32,f__CAG-239,g__CAG-267,s__,
SAMEA104315431__metabat2_high_PE.024.contigs,65.04,0.0,999336,316,3581,43.0,PRJEB22765,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__RF32,f__CAG-239,g__CAG-495,s__,
SAMEA104315432__metabat2_high_PE.015.contigs,92.18,0.24,1299222,226,7096,43.6,PRJEB22765,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__RF32,f__CAG-239,g__CAG-495,s__,
R23__metabat2_high_PE.029.contigs,69.0,0.0,1102250,323,3779,43.4,PRJNA532626,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__RF32,f__CAG-239,g__UBA2931,s__,
SAMEA104315426__metabat2_low_PE.019.contigs,65.31,2.75,1523632,391,4429,56.3,PRJEB22765,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__RF32,f__CAG-977,g__UBA11549,s__UBA11549 sp002440235,97.17
